種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
1,リュウキュウガモ,Dendrocygna javanica,DENDROCYGNA,リュウキュウガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
1-1,オオカナダガン,Branta canadensis moffitti,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
2,コクガン,Branta bernicla,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
2-1,コクガン,Branta bernicla nigricans,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
3,アオガン,Branta ruficollis,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
4,カナダガン,Branta canadensis,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
4-1,チュウカナダガン,Branta canadensis parvipes,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
5,シジュウカラガン,Branta hutchinsii,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
5-1,シジュウカラガン,Branta hutchinsii leucopareia,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
5-2,ヒメシジュウカラガン,Branta hutchinsii minima,BRANTA,コクガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
6,インドガン,Anser indicus,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
6-1,コウライキジ,Phasianus colchicus karpowi,PHASIANUS,キジ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
7,ミカドガン,Anser canagicus,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
8,ハクガン,Anser caerulescens,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
8-1,ハクガン,Anser caerulescens caerulescens,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
9,ハイイロガン,Anser anser,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
9-1,ハイイロガン,Anser anser rubrirostris,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
10,サカツラガン,Anser cygnoid,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
11,ヒシクイ,Anser fabalis,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
11-1,オオヒシクイ,Anser fabalis middendorffii,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
11-2,ヒメヒシクイ,Anser fabalis rossicus,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
11-3,ヒシクイ,Anser fabalis serrirostris,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
12,マガン,Anser albifrons,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
12-1,マガン,Anser albifrons albifrons,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
13,カリガネ,Anser erythropus,ANSER,マガン属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
14,コブハクチョウ,Cygnus olor,CYGNUS,ハクチョウ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
15,ナキハクチョウ,Cygnus buccinator,CYGNUS,ハクチョウ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
